artefato,classe,status,processo,versao_ou_semente,sha256,resultado,limitacao
data/dataset_escoliose_01.xlsx,fonte congelada,verificado,sha256 contra manifesto_inicial.csv,fonte vigente,f601adb42c299c2b0572f3e50ff26550b63a2f24dd7173f244a442b498965b71,identidade preservada desde task 01,nenhuma
analisys.qmd,histórico,preservado,sha256,task 01,3c94a887beb80ef9ee77b150ce36260da689a4a3e14b094120752597002ffed6,identidade preservada desde task 01,nenhuma
analisys.html,histórico,preservado,sha256,task 01,8a07621a60a5314c9b5f2a11b418c859bc4451cfe8157703f47164eb055336bc,identidade preservada desde task 01,nenhuma
relatorio_prognostico.qmd,explicação conformal e esclarecimento de cronologia,verificado,confirmação da equipe; conciliação do relato; renderização,2026-09-09; sem reamostragem,8cada9ab74af5864f0f3b9e3f9f697d2069b19ffb5c5cfffea655ad32641ceba,"a priori confirmado; cobertura 94,86%; largura 17,44°; evidência em conformal_e_cronologia_execucao.md",demais limites clínicos e documentais preservados; sem validação externa
relatorio_prognostico.html,explicação conformal e esclarecimento de cronologia,verificado,confirmação da equipe; conciliação do relato; renderização,2026-09-09; sem reamostragem,45fa58101794d0402393144914e719fbdf10fb6df398848975dea34227010d92,"a priori confirmado; cobertura 94,86%; largura 17,44°; evidência em conformal_e_cronologia_execucao.md",demais limites clínicos e documentais preservados; sem validação externa
references_prognostico.bib,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,955d6ddeedf6c83395abf33212a1d6f590b528690de126248bcd5bb8039c6d80,20 referências existentes e citadas; 17 DOI verificados; matriz bibliográfica arquivada,pertinência não implica validação clínica local
tests/run_tests.R,suíte de integração,aprovado,Rscript --vanilla tests/run_tests.R,R 4.6.1; sem restaurar .RData,ea0c6c67ffc4b4306bfe6ca3ba965dcf9a52801393f93496dab231587d9b5675,11 grupos de testes aprovados,avisos esperados de cenários sintéticos de intervalo legado e separação estão em testes.log
R/00_config.R,configuração de reprodutibilidade,verificado,leitura de configuração,GLOBAL_SEED=20260906; PARALLEL_SEEDS=20260907|20260908|20260909|20260910,11ed18e1aa352b81b5cab50524a61ae01cc09872154cc91cb4eaa758117a1266,sementes analíticas documentadas; nenhuma reamostragem foi repetida,nenhuma
calculo_sintetico_pós_shrinkage,verificação numérica,aprovado,Task 14 preservada: recomposição manual; vetor distinto do exemplo Task 15,vetor sintético sem dados individuais,não aplicável,delta=-6.668365906857; eta=1.595223637109; probabilidade=0.831349763489,exemplo sintético não é previsão clínica
artefatos compartilháveis,privacidade,aprovado,inspeção de 96 CSVs agregados e HTML,não aplicável,não aplicável,"Task 14: 96 CSVs sem campos pessoais; Task 15 adiciona somente julgamentos, referências e auditoria agregada; HTML sem registros individuais",objetos individuais permanecem somente em reduced_objects
.plan/tasks-revisao/15_auditoria_cientifica_final.md,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,c284a135619a3d6af967bacc78b4d7cb8d826c295446cbef16a645b384f7ed36,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
.plan/tasks-revisao/entregas/15_execucao.md,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,6eb8e762074985bb7a8b9bb22e53e897539eaae8288824dd7603dc2a77c41fcb,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
.plan/tasks-revisao/entregas/15_parecer_final.md,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,68444b1ede2ac25e24189b02cc5336e05369687890b8afaa0b6a47b538b53bcb,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
results/prognostico/revisao/aggregated/probast_ai_assessment.csv,explicação conformal e esclarecimento de cronologia,verificado,confirmação da equipe; conciliação do relato; renderização,2026-09-09; sem reamostragem,ad68f31a8b74ed5e52dfaa82a38b4d86e8191a528b4e2723742071aa30fccf5a,"a priori confirmado; cobertura 94,86%; largura 17,44°; evidência em conformal_e_cronologia_execucao.md",demais limites clínicos e documentais preservados; sem validação externa
results/prognostico/revisao/aggregated/probast_ai_signaling_task15.csv,explicação conformal e esclarecimento de cronologia,verificado,confirmação da equipe; conciliação do relato; renderização,2026-09-09; sem reamostragem,432ac903688b35c9b3ced7982fe4cac17e3529a06cbda382f0c349647ffb069d,"a priori confirmado; cobertura 94,86%; largura 17,44°; evidência em conformal_e_cronologia_execucao.md",demais limites clínicos e documentais preservados; sem validação externa
results/prognostico/revisao/aggregated/tripod_ai_checklist.csv,explicação conformal e esclarecimento de cronologia,verificado,confirmação da equipe; conciliação do relato; renderização,2026-09-09; sem reamostragem,222ec721df6984fe7ab210977f7978aa3abcfcb3785b42d55b27861d89d8dd6d,"a priori confirmado; cobertura 94,86%; largura 17,44°; evidência em conformal_e_cronologia_execucao.md",demais limites clínicos e documentais preservados; sem validação externa
results/prognostico/revisao/logs/auditoria_numerica_task15.csv,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,e87e8b6f32f1fcf875a4d5d026d2a92ee7784b450071ba23004761aa64dcfa18,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
results/prognostico/revisao/logs/auditoria_task15.log,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,364ed8b739f36f87230f9dd6ceec976737a8383ca48b43afa6c30c814804b32a,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
results/prognostico/revisao/logs/bibliografia_crossref_task15.json,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,c6b5433d8b708d42932a32257b8b49a4055e1a6565b1f578b8192b9643d260cf,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
results/prognostico/revisao/logs/bibliografia_verificacao_task15.csv,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,aaf6251bc878b585b2688de3447852295cea983d62327fd8b4e9615313fab7b9,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
results/prognostico/revisao/logs/chunks_task15.log,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,fef1ba4f7150e59b5ae8903e1078dc6eeb7eafe6efdc7e4970f73515dcd6cc24,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
results/prognostico/revisao/logs/pendencias_finais.csv,explicação conformal e esclarecimento de cronologia,verificado,confirmação da equipe; conciliação do relato; renderização,2026-09-09; sem reamostragem,fcdb3b4398cc9f5692b823b95c29ac9e8b3f5970721b56180285be046396e3a4,"a priori confirmado; cobertura 94,86%; largura 17,44°; evidência em conformal_e_cronologia_execucao.md",demais limites clínicos e documentais preservados; sem validação externa
results/prognostico/revisao/logs/renderizacao_task15.log,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,5c0f268f02f0427a4775dd495de897cab636a3f250f45947c5eab6c756a2b005,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
