"item","section","topic","scope","status","location_qmd","evidence_or_pending","version"
"1","Título","Tipo de estudo, população e desfecho","D;E","parcial","Título; Sumário executivo","Desenvolvimento/avaliação interna e desfechos identificados; população detalhada no corpo.","TRIPOD+AI 7-Feb-2024"
"2","Resumo","Checklist de resumo","D;E","pendente","Sumário executivo","Síntese quantitativa completa; adaptar aos 13 itens do resumo e à revista.","TRIPOD+AI 7-Feb-2024"
"3","Introdução","Contexto, propósito, usuários e desigualdades","D;E","parcial","Pergunta, cenário e cronologia","Contexto e propósito científico descritos; usuários assistenciais e desigualdades não definidos.","TRIPOD+AI 7-Feb-2024"
"4","Introdução","Objetivos","D;E","reportado","Pergunta, cenário e cronologia","Desenvolvimento, avaliação interna e explorações distinguidos.","TRIPOD+AI 7-Feb-2024"
"5","Métodos","Fonte, representatividade e datas","D;E","parcial","Coorte; Rastreabilidade","Fonte e hash descritos; delineamento, representatividade, período e fim real do seguimento pendentes.","TRIPOD+AI 7-Feb-2024"
"6","Métodos","Cenário, elegibilidade e tratamentos","D;E","parcial","Cronologia; Coorte","Colete e exercícios S4D registrados; centros, elegibilidade, adesão e concomitantes pendentes.","TRIPOD+AI 7-Feb-2024"
"7","Métodos","Preparação e qualidade dos dados","D;E","reportado","Coorte; Desfechos e preditores","Deduplicação, caso completo, derivações, empates e hipercorreções descritos; auditoria sociodemográfica limitada.","TRIPOD+AI 7-Feb-2024"
"8","Métodos","Desfecho, horizonte, avaliadores e cegamento","D;E","parcial","Desfechos e preditores; Discussão","Equações, sinal, limiar e horizonte nominal descritos; protocolo, avaliadores e cegamento pendentes.","TRIPOD+AI 7-Feb-2024"
"9","Métodos","Escolha, definição e avaliação de preditores","D;E","parcial","Desfechos e preditores; Especificação","Cronologia e dicionário explícitos; protocolos, avaliadores e cegamento pendentes.","TRIPOD+AI 7-Feb-2024"
"10","Métodos","Tamanho amostral","D;E","reportado","Especificação e tamanho amostral","19 parâmetros e cenários explícitos; suficiência declarada condicional.","TRIPOD+AI 7-Feb-2024"
"11","Métodos","Dados ausentes","D;E","reportado","Coorte","Caso completo, motivo e denominadores antes/depois apresentados.","TRIPOD+AI 7-Feb-2024"
"12","Métodos","Métodos analíticos, tuning, validação e métricas","D;E","reportado","Métodos; CART; Apêndices","Partições, formas, tuning, bootstrap/CV, desempenho e cálculo de previsões descritos; clusters não identificáveis.","TRIPOD+AI 7-Feb-2024"
"13","Métodos","Desbalanceamento de classes","D;E","reportado","Coorte; Métodos","317 eventos e 298 não eventos; nenhum método de balanceamento aplicado.","TRIPOD+AI 7-Feb-2024"
"14","Métodos","Equidade","D;E","pendente","Discussão e conclusão","Fairness não avaliada; descrições por estrato não demonstram equidade.","TRIPOD+AI 7-Feb-2024"
"15","Métodos","Saída e limiar do modelo","D","reportado","Pergunta; Desfechos; Resultados","Saídas são graus e probabilidade; 5° define o desfecho, não uma conduta.","TRIPOD+AI 7-Feb-2024"
"16","Métodos","Diferenças entre desenvolvimento e avaliação","D;E","não aplicável","Avaliação interna","Não existe fonte externa distinta; folds pertencem à mesma coorte.","TRIPOD+AI 7-Feb-2024"
"17","Métodos","Ética e consentimento","D;E","pendente","Discussão e conclusão","Comitê, aprovação e consentimento/dispensa não fornecidos.","TRIPOD+AI 7-Feb-2024"
"18","Ciência aberta","Financiamento, conflitos, protocolo, registro, dados e código","D;E","pendente","Rastreabilidade","Código/hashes locais rastreáveis; financiamento, conflitos, protocolo público, registro e políticas de compartilhamento dependem dos investigadores.","TRIPOD+AI 7-Feb-2024"
"19","Envolvimento público","Pacientes e público","D;E","pendente","Discussão e conclusão","Envolvimento não documentado; não se presume ausência.","TRIPOD+AI 7-Feb-2024"
"20","Resultados","Fluxo e características dos participantes","D;E","parcial","Coorte","621→618→615 e características reportados; datas, tratamentos detalhados, seguimento real e comparações demográficas pendentes.","TRIPOD+AI 7-Feb-2024"
"21","Resultados","Denominadores por análise","D;E","reportado","Métodos; CART; Sensibilidades","n, eventos, folds, previsões repetidas e falhas explicitados.","TRIPOD+AI 7-Feb-2024"
"22","Resultados","Especificação completa","D","reportado","Apêndice — Equações","Equações pós-shrinkage e referências permitem cálculo; ainda sem interface clínica.","TRIPOD+AI 7-Feb-2024"
"23","Resultados","Desempenho, IC, subgrupos e clusters","D;E","parcial","Modelos contínuo/logístico; Sensibilidades","Métricas principais têm IC; precisão por subgrupo e heterogeneidade entre centros não avaliadas.","TRIPOD+AI 7-Feb-2024"
"24","Resultados","Atualização após avaliação","E","não aplicável","Métodos","Não houve atualização após avaliação externa; shrinkage pertence ao desenvolvimento.","TRIPOD+AI 7-Feb-2024"
"25","Discussão","Interpretação e equidade","D;E","parcial","Discussão e conclusão","Resultados/limites interpretados; fairness permanece não avaliada.","TRIPOD+AI 7-Feb-2024"
"26","Discussão","Limitações","D;E","reportado","Discussão e conclusão","Representatividade, mensuração, seleção, incerteza, ausência e generalização discutidas.","TRIPOD+AI 7-Feb-2024"
"27","Discussão","Usabilidade e próximos passos","D;E","parcial","Discussão e conclusão","Próximos passos definidos; manejo de entradas ruins/ausentes, usuários e expertise pendentes.","TRIPOD+AI 7-Feb-2024"
