id,gravidade,status,arquivo,trecho,impacto,task_origem,evidencia_resolucao_ou_pendencia,acao_verificavel
C01,crítica,resolvida_por_restricao_do_alvo,relatorio_prognostico.qmd,Bootstrap passo a passo; Auditoria local PROBAST+AI,Otimismo da exploração histórica não coberto,09;13;15,Texto restringido à especificação fixa; alto risco da estratégia histórica explícito. Não significa viés eliminado.,Se reivindicar toda a estratégia: reconstruir e reamostrar seleção histórica ou avaliar independentemente equação congelada.
C02,crítica,resolvida_no_relato,relatorio_prognostico.qmd,Avaliação interna; Equações pós-shrinkage,Confundir IC aproximados ou cobertura interna com garantia individual/final,09;13;15,IC condicionais e aproximação explicitados; sem IC pós-shrinkage; cobertura estratificada empírica.,Manter limitações e não anexar IC aparentes aos coeficientes finais.
R01,relevante,pendente_investigadores,relatorio_prognostico.qmd,Pendências para submissão; TRIPOD 17,Falta documentação ética para submissão; não demonstra ausência de aprovação,02;13;15,"Comitê, aprovação e consentimento/dispensa não informados.",Obter documentação verificável e declaração para o manuscrito.
R02,relevante,pendente_investigadores,relatorio_prognostico.qmd,"Coorte; TRIPOD 5–6,20",Representatividade e fluxo anterior à planilha não avaliáveis,02;11;13;15,"Recrutamento, critérios, centros, período, perdas e janela real ausentes.",Documentar origem e fluxo; avaliar se informação nova exige revisão das análises.
R03,relevante,pendente_investigadores,relatorio_prognostico.qmd,Desfechos e preditores; TRIPOD 8–9,Reprodutibilidade clínica da mensuração e tratamento insuficiente,02;08;13;15,"Mesma condição radiográfica e colete transversal confirmados; faltam protocolos detalhados, fórmula de aquisição percentual, avaliadores, confiabilidade, cegamento e adesão.",Completar protocolos sem reabrir decisões confirmadas; reavaliar viés de mensuração se informação nova justificar.
R04,relevante,pendente_investigadores,relatorio_prognostico.qmd,Pendências para submissão; TRIPOD 18–19,Declarações necessárias ao manuscrito ausentes,03;13;15,"Financiamento, conflitos, registro/protocolo, acesso aos dados/código, licença e envolvimento público não declarados.","Autores devem fornecer declarações, inclusive ausência quando verdadeira; não presumir."
R05,relevante,limite_de_uso_explicitado,relatorio_prognostico.qmd,"Discussão e conclusão; TRIPOD 14,27","Transportabilidade, equidade, utilidade e previsões individuais não validadas",09;13;15,Sem amostra independente e sem limiar clínico; não impede por si relato de desenvolvimento.,Exigir avaliação externa e utilidade antes de uso clínico; sem nova análise neste escopo.
R06,relevante,pendente_preparacao_manuscrito,relatorio_prognostico.qmd,"Sumário executivo; Discussão; TRIPOD 2,3,25",Contextualização para submissão incompleta,03;13;15,Literatura existente verificada; comparação com modelos prognósticos existentes e desigualdades insuficiente.,"Ampliar discussão e resumo para a revista, anexar detalhes de tuning/código e preservar limites."
E01,editorial,resolvida,relatorio_prognostico.qmd,Equações pós-shrinkage; CSS,Equações excediam tela e invadiam sumário,13;14;15,Quebras em dois termos e rolagem local; viewport 390 e 1440 sem transbordamento.,Verificação CUA e logs/verificacao_html_task15.json.
E02,editorial,resolvida,references_prognostico.bib,Riley 2020; Negrini 2018; Breiman 1984; Xu 2017,Autoria/link e contexto bibliográfico requeriam conciliação,03;13;15,"20 referências existentes e citadas, 17 DOI verificados; limites clínicos comparados.",Consultar bibliografia_verificacao_task15.csv e JSON Crossref.
E03,editorial,opcional_para_revista,relatorio_prognostico.qmd,Tabelas agregadas,Alguns rótulos técnicos e contagens com casas decimais reduzem fluidez,13;15,Não altera números nem validade; fonte técnica preservada.,"Na adaptação à revista, padronizar rótulos e exibir contagens inteiras sem modificar CSV analítico."
