component,domain,topic,response,evidence,location_qmd,source_url,source_location,response_legend
Desenvolvimento,Participantes e fontes de dados,Fonte,NI,Planilha identificada por hash; origem clínica da coleta não especificada.,Coorte,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Participantes e fontes de dados,Desenho,NI,"Não documentado se coleta prospectiva, retrospectiva ou amostragem consecutiva.",Coorte,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Participantes e fontes de dados,Representatividade,NI,"Deduplicação correta; elegibilidade, cobertura do serviço e perdas prévias desconhecidas.",Coorte,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Preditores,Mensuração uniforme,NI,Codificação conhecida; protocolos e avaliadores insuficientes para garantir uniformidade clínica.,Desfechos e preditores,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Preditores,Processamento uniforme,S,R/02_import_prepare.R aplica as mesmas regras; flexível estima transformação somente no treino.,Desfechos e preditores; Modelagem flexível corrigida,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Preditores,Cegamento ao futuro,PS,Preditores obtidos na avaliação basal antes do desfecho; coleta transversal do colete confirmada.,"Pergunta, cenário e cronologia",https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Preditores,Disponibilidade basal,S,Dez preditores disponíveis na anamnese por decisão clínica registrada; não há pendência temporal do colete.,"Pergunta, cenário e cronologia",https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Desfecho,Adequação,NI,Mudança entre máximos aprovada; definição computacional reproduzida. Falta protocolo para julgar mensuração do limiar.,Desfechos e preditores,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Desfecho,Uniformidade,NI,Mesma condição radiográfica basal/final confirmada; uniformidade entre avaliadores/grupos não documentada.,Desfechos e preditores,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Desfecho,Cegamento,NI,Não se sabe o conhecimento dos preditores pelos leitores das radiografias finais.,Pendências para submissão,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Desfecho,Intervalo,NI,"Seis meses é horizonte nominal; marco exato, janela e intervalo real ausentes.","Pergunta, cenário e cronologia",https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Análise,Amostra,NI,615 participantes e 19 parâmetros; cenários conservadores excedem n disponível; 48 colunas flexíveis não justificadas por esses cenários.,Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Análise,Codificação,S,Contínuos preservados e fatores completos; principais sem corte oportunista; flexível exploratório com tuning no treino.,Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Análise,Ausências,PS,"Três ausências de Lenke entre 618; caso completo explicitado, sem imputação; perdas anteriores desconhecidas.",Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Análise,Classes,NA,Nenhum balanceamento artificial aplicado.,Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Desenvolvimento,Análise,Sobreajuste,PS,"Shrinkage, penalização e tuning interno utilizados; não eliminam a exploração histórica nem comprovam suficiência amostral.",Métodos; Discussão e conclusão; Apêndices,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Participantes e fontes de dados,Fonte,NI,Planilha identificada por hash; origem clínica da coleta não especificada.,Coorte,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Participantes e fontes de dados,Desenho,NI,"Não documentado se coleta prospectiva, retrospectiva ou amostragem consecutiva.",Coorte,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
Avaliação interna,Participantes e fontes de dados,Representatividade,NI,"Deduplicação correta; elegibilidade, cobertura do serviço e perdas prévias desconhecidas.",Coorte,https://www.probast.org/wp-content/uploads/2025/03/PROBASTAI-Supplementals.pdf,"Tabela suplementar 5, páginas 4–6; rótulos locais abreviados",S=sim; PS=provavelmente sim; N=não; NI=informação insuficiente; NA=não aplicável
