"component","domain","assessment_target","draft_judgement","location_qmd","evidence","pending_or_limitation","version"
"Desenvolvimento","Participantes e fontes de dados","Qualidade do desenvolvimento","incerto","Coorte; Discussão","Fonte congelada, deduplicação e caso completo auditados.","Recrutamento, elegibilidade, período, centros, representatividade e perdas prévias não documentados.","PROBAST+AI 2025"
"Desenvolvimento","Preditores","Qualidade do desenvolvimento","incerto","Cronologia; Desfechos e preditores","Dez preditores basais definidos; correção pelo colete confirmada como transversal.","Protocolos, avaliadores, cegamento e confiabilidade de várias medidas não disponíveis.","PROBAST+AI 2025"
"Desenvolvimento","Desfecho","Qualidade do desenvolvimento","incerto","Desfechos e preditores","Delta, sinal, limiar e horizonte nominal reproduzíveis.","Protocolo radiográfico, avaliadores, cegamento, intervalo real e região final ausentes.","PROBAST+AI 2025"
"Desenvolvimento","Análise","Qualidade do desenvolvimento","incerto","Métodos; Sensibilidades; Apêndices","19 parâmetros, diagnósticos, shrinkage, comparadores e tuning interno documentados.","Especificação sucedeu exploração histórica; adequação amostral é condicional; flexível é exploratório.","PROBAST+AI 2025"
"Avaliação interna","Participantes e fontes de dados","Risco de viés do desempenho","incerto","Avaliação interna; Discussão","Bootstrap e CV mantêm separação treino-teste na mesma fonte.","Sem avaliação independente; escolha histórica pré-congelamento não está integralmente na reamostragem.","PROBAST+AI 2025"
"Avaliação interna","Preditores","Risco de viés do desempenho","incerto","Avaliação interna; Dicionário","Processamento aprendido no treino quando aplicável.","Erro de mensuração e disponibilidade em outros cenários não avaliados.","PROBAST+AI 2025"
"Avaliação interna","Desfecho","Risco de viés do desempenho","incerto","Desfechos; Avaliação interna","Definição constante e desfecho disponível nos 615.","Cegamento, região anatômica final e intervalo real desconhecidos.","PROBAST+AI 2025"
"Avaliação interna","Análise","Risco de viés do desempenho","incerto","Avaliação interna, shrinkage e incerteza","2.000 bootstraps sem falha; CV 5×10 do procedimento; folds externos intocados; IC com alvo explícito.","IC de calibração e intervalos finais indisponíveis; repetições dependentes; nenhuma avaliação externa.","PROBAST+AI 2025"
"Aplicabilidade do desenvolvimento","Participantes e fontes de dados","Correspondência à população/cenário","incerto","Pergunta; Discussão","Adolescentes com escoliose idiopática sob manejo conservador são o grupo documentado.","População-alvo, centros, critérios e representatividade insuficientes.","PROBAST+AI 2025"
"Aplicabilidade do desenvolvimento","Preditores","Disponibilidade e comparabilidade das entradas","incerto","Cronologia; Dicionário","Preditores tratados como basais; unidades e referências registradas.","Protocolos de flexibilidade, colete, escoliômetro e radiografias precisam ser reproduzidos.","PROBAST+AI 2025"
"Aplicabilidade do desenvolvimento","Desfecho","Correspondência ao uso pretendido","incerto","Desfechos; Discussão","Mudança radiográfica em seis meses é o alvo explícito.","Não mede função/sintomas; mesma curva não garantida; 5° não é benefício clínico automático.","PROBAST+AI 2025"
"Aplicabilidade da avaliação","Participantes e fontes de dados","Generalização do desempenho","incerto","Discussão; Próximos passos","Avaliação interna quantifica otimismo na mesma fonte.","Transportabilidade não estimável sem dados independentes; julgamento deve ser revisto por avaliadores.","PROBAST+AI 2025"
"Aplicabilidade da avaliação","Preditores","Comparabilidade das entradas externas","incerto","Dicionário; Próximos passos","Equação e codificação disponíveis.","Distribuições, qualidade, ausências e entradas fora do domínio não avaliadas externamente.","PROBAST+AI 2025"
"Aplicabilidade da avaliação","Desfecho","Comparabilidade externa do desfecho","incerto","Desfechos; Próximos passos","Definição computacional explícita.","Reprodutibilidade radiográfica, horizonte e relevância clínica devem ser avaliados externamente.","PROBAST+AI 2025"
