ordem,preditor,rotulo,definicao_operacional,unidade,codificacao_forma,referencia,graus_liberdade,termos_matriz_modelo,aquisicao_momento,justificativa_e_forca,fonte_e_pendencias
1,idade,Idade,"Idade registrada na avaliação basal.",anos,"Numérica; efeito linear por ano nos modelos congelados.",NA,1,idade,"Avaliação basal/anamnese, antes do seguimento longitudinal.","Marcador de fase de crescimento e prognóstico em escoliose idiopática adolescente; racional clínico apoiado por coortes prognósticas, mas a forma linear é a especificação congelada e será examinada apenas no apêndice exploratório.","Aba dicionario; R/02_import_prepare.R; R/07_frozen_models.R. Pendente: regra exata de cálculo da idade e data de referência."
2,imc,Índice de massa corporal,"Peso dividido pela altura ao quadrado: peso / altura^2.",kg/m²,"Numérica derivada; efeito linear por kg/m² nos modelos congelados.",NA,1,imc,"Derivada de peso em kg e altura em metros registrados no basal.","Característica corporal potencialmente relacionada ao ajuste do colete e ao prognóstico; inclusão pragmática da especificação histórica, sem evidência neste projeto de que seja causal.","Aba dicionario; R/02_import_prepare.R: peso / altura^2; R/07_frozen_models.R. Pendente: instrumentos, vestimenta e padronização de peso/altura."
3,cifose_toracica,Cifose torácica,"Ângulo de cifose torácica registrado na fonte.",graus,"Numérica; efeito linear por grau nos modelos congelados; não são usadas as faixas descritivas da aba dicionario.",NA,1,cifose_toracica,"Medida basal; tratada como variável radiográfica no plano clínico.","Caracteriza o perfil sagital, potencialmente relevante à deformidade e ao manejo; a inclusão é principalmente pragmática pela disponibilidade e especificação histórica.","Aba dicionario; .plan/00_alteracao_prognostico.md; R/07_frozen_models.R. Pendente: projeção radiográfica, vértebras terminais, condição com/sem colete, avaliador e repetibilidade."
4,lordose_lombar,Lordose lombar,"Ângulo de lordose lombar registrado na fonte.",graus,"Numérica; efeito linear por grau nos modelos congelados; não são usadas as faixas descritivas da aba dicionario.",NA,1,lordose_lombar,"Medida basal; tratada como variável radiográfica no plano clínico.","Caracteriza o perfil sagital, potencialmente relevante à deformidade e ao manejo; a inclusão é principalmente pragmática pela disponibilidade e especificação histórica.","Aba dicionario; .plan/00_alteracao_prognostico.md; R/07_frozen_models.R. Pendente: projeção radiográfica, vértebras terminais, condição com/sem colete, avaliador e repetibilidade."
5,correcao_colete,Correção pelo colete,"Diferença momentânea da curvatura na avaliação inicial ao comparar radiografia sem colete e radiografia com colete rígido; possível marcador quantitativo de maleabilidade/corrigibilidade imediata.",percentual,"Numérica; efeito linear por ponto percentual nos modelos congelados; valores acima de 100% são hipercorreções verdadeiras preservadas.",NA,1,correcao_colete,"Avaliação transversal na anamnese inicial, antes do tratamento longitudinal e disponível no momento da previsão basal.","Maior correção imediata pode refletir maior componente flexível ou redutível e ter valor prognóstico; estudos de correção/flexibilidade apoiam o racional, mas não validam o coeficiente, a forma linear, limiares ou a manutenção da correção nesta coorte.","Esclarecimento do investigador no índice/parecer; .plan/00_alteracao_prognostico.md; PMIDs 26909835, 32009436 e 28437355. Pendente: fórmula percentual exata, curvas pareadas, posicionamento, tempo de uso antes da imagem, modelo/ajuste do colete, avaliador e repetibilidade."
6,sexo,Sexo,"Categoria de sexo registrada na fonte.",categoria,"Fator nominal com níveis feminino e masculino; uma indicadora para masculino.",feminino,1,sexomasculino,"Registro basal; método de aquisição não documentado.","Característica prognóstica considerada em estudos de escoliose; inclusão preserva a especificação histórica. Não interpretar coeficiente como efeito causal ou identidade de gênero.","Aba dicionario; R/02_import_prepare.R; R/07_frozen_models.R. Pendente: definição operacional e fonte do registro."
7,lenke,Classificação de Lenke,"Padrão de curva registrado nas classes 1 a 6.",classe,"Fator nominal de seis níveis; cinco indicadoras, sem impor distância ou tendência linear entre classes.",1,5,"lenke2|lenke3|lenke4|lenke5|lenke6","Classificação disponível no basal.","Representa padrão/distribuição da curva; estudos prognósticos usam tipo de curva, mas isso não valida diferenças específicas entre classes Lenke neste horizonte. O tratamento como fator evita assumir ordinalidade.","Aba dicionario; R/02_import_prepare.R; R/07_frozen_models.R; PMID 31731999 como suporte indireto para padrão de curva. Pendente: versão completa da classificação, modificadores, radiografias usadas, avaliador e confiabilidade."
8,risser,Estágio de Risser,"Estágio de maturidade esquelética registrado de 0 a 4 na fonte.",estágio,"Fator de cinco níveis; quatro indicadoras, sem impor efeito linear entre estágios.",0,4,risser1|risser2|risser3|risser4,"Avaliação basal.","Maturidade esquelética e crescimento remanescente são prognósticos em escoliose; modelagem categórica preserva diferenças não lineares entre estágios. Evidência externa tem populações e desfechos diferentes.","Aba dicionario; R/02_import_prepare.R; R/07_frozen_models.R; PMIDs 32009436, 28437355 e 31731999. Pendente: lado avaliado, método radiográfico, avaliador, confiabilidade e motivo da ausência do estágio 5."
9,flexibilidade,Flexibilidade categórica,"Classificação registrada como flexível ou rígido; o critério que produz a categoria não está documentado.",categoria,"Fator nominal binário; uma indicadora para rígido.",flexivel,1,flexibilidaderigido,"Disponível no basal; técnica de aquisição não documentada.","Pode representar uma avaliação qualitativa ou dicotômica da flexibilidade da curva. É conceitualmente distinta da correção quantitativa com colete, mas a independência e o valor incremental entre ambas não podem ser afirmados sem o protocolo.","Aba dicionario; R/02_import_prepare.R; R/07_frozen_models.R; PMIDs 26909835 e 32009436 apoiam flexibilidade medida por protocolos específicos, não esta codificação. Pendente: teste, posição, fórmula/limiar, curva avaliada, avaliador e relação operacional com correcao_colete."
10,escoliometro_maior_10_graus,Regiões com escoliômetro acima de 10°,"Classe derivada das medidas cervical, torácica e lombar: normal quando nenhuma é estritamente maior que 10°; torácica, lombar ou torácica_lombar conforme as regiões acima do limiar observadas na coorte.",categoria derivada de graus,"Fator nominal de quatro níveis; três indicadoras. O código permite detectar cervical, mas os níveis congelados/observados não incluem categoria cervical.",normal,3,"escoliometro_maior_10_graustoracica|escoliometro_maior_10_grauslombar|escoliometro_maior_10_graustoracica_lombar","Derivada de medições basais do escoliômetro.","Resume a distribuição regional da rotação/assimetria do tronco. O limiar de 10° é uma regra do projeto, não deve ser chamado de corte prognóstico validado; diretrizes citam outros limiares para triagem e destacam dependência do protocolo.","Aba dicionario; R/02_import_prepare.R; SOSORT 2016/2018. Pendente: aparelho, posição/teste, ordem, replicatas, avaliador, confiabilidade e justificativa clínica específica do limiar >10°."
