chave,doi,existencia,fonte_verificacao,relevancia_e_limite,citada_no_qmd,consulta
collins2024_tripod_ai,10.1136/bmj-2023-078378,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1136%2Fbmj-2023-078378,"Diretriz de relato; auditoria dos 52 itens/subitens, sem selo de qualidade.",True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
moons2025_probast_ai,10.1136/bmj-2024-082505,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1136%2Fbmj-2024-082505,"Estrutura para separar desenvolvimento, viés e aplicabilidade; julgamento local, não externo.",True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
riley2019_continuous_sample_size,10.1002/sim.7993,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1002%2Fsim.7993,Cenários amostrais do contínuo; publicação online em 2018 e volume impresso em 2019.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
riley2019_binary_sample_size,10.1002/sim.7992,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1002%2Fsim.7992,Cenários do binário; desempenho antecipado condicional.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
riley2020_sample_size_framework,10.1136/bmj.m441,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1136%2Fbmj.m441,Síntese de cálculo amostral; ordem/nome dos autores corrigidos pelo registro.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
steyerberg2001_bootstrap,10.1016/S0895-4356(01)00341-9,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1016%2FS0895-4356%2801%2900341-9,Bootstrap para otimismo; não elimina decisões históricas anteriores ao congelamento.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
vancalster2019_calibration,10.1186/s12916-019-1466-7,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1186%2Fs12916-019-1466-7,Discriminação não substitui calibração.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
cawley2010_nested_cv,,confirmada em registro DOI/editor/documentação oficial,https://jmlr.org/papers/v11/cawley10a.html,Separar tuning e avaliação; não prova superioridade local.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
friedman2010_glmnet,10.18637/jss.v033.i01,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.18637%2Fjss.v033.i01,"Convenção de GLM penalizado; solver local verificado por objetivo/KKT, sem declarar uso de glmnet.",True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
zou2005_elastic_net,10.1111/j.1467-9868.2005.00503.x,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1111%2Fj.1467-9868.2005.00503.x,Motivação de penalização; não impõe hierarquia forte.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
white1980_robust_covariance,10.2307/1912934,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.2307%2F1912934,Fundamento de covariância robusta; sem correção automática da previsão.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
mackinnon1985_hc3,10.1016/0304-4076(85)90158-7,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1016%2F0304-4076%2885%2990158-7,"HC3; uso de t595 é convenção inferencial aproximada, não distribuição exata.",True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
albert1984_logistic_separation,10.1093/biomet/71.1.1,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1093%2Fbiomet%2F71.1.1,Condições de existência da MLE; diagnóstico numérico não valida toda a especificação.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
breiman1984_cart,,confirmada em registro DOI/editor/documentação oficial,https://www.routledge.com/Classification-and-RegressionTrees/Breiman-Friedman-Stone-Olshen/p/book/9780412048418,Algoritmo CART; URL editorial atualizada; editora original preservada.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
therneau2026_rpart_object,,confirmada em registro DOI/editor/documentação oficial,https://stat.ethz.ch/R-manual/R-devel/library/rpart/html/rpart.object.html,Documentação primária de frame/splits/csplit; versão consultada 4.1.24.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
ohrt_nissen2016_brace_flexibility,10.1097/BRS.0000000000001519,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1097%2FBRS.0000000000001519,"Estudo transversal Providence, 127 participantes; corrigibilidade imediata, não manutenção local.",True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
negrini2018_sosort,10.1186/s13013-017-0145-8,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1186%2Fs13013-017-0145-8,Erro manual Cobb e contexto conservador; corrigido nome Sabrina Donzelli; não define benefício clínico de 5°.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
noma2021_optimism_ci,10.1002/sim.9148,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1002%2Fsim.9148,"IC deslocado, distinguido de quantis do otimismo; cobertura local não demonstrada.",True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
lei2018_conformal_regression,10.1080/01621459.2017.1307116,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1080%2F01621459.2017.1307116,Conformal separado; estratificação local relatada como cobertura empírica sem garantia exata.,True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
xu2017_initial_correction,10.1097/BSD.0000000000000343,confirmada em registro DOI/editor/documentação oficial,https://api.crossref.org/works/10.1097%2FBSD.0000000000000343,"Adicionada: coorte retrospectiva, 488 participantes, seguimento ≥2 anos; sucesso ≤5° de aumento, alvo diferente; não transportar corte/OR.",True,2026-09-09 UTC / sessão iniciada em 2026-09-08 America/Sao_Paulo
