artefato,classe,estado,tarefa_responsavel,script_ou_processo,fonte,versao_base,sha256,consumo
data/dataset_escoliose_01.xlsx,fonte congelada,preservado,plano original e task 01,leitura da aba dados,fonte vigente da coorte,git 40cf190,f601adb42c299c2b0572f3e50ff26550b63a2f24dd7173f244a442b498965b71,somente leitura
analisys.qmd,histórico,preservado,fora da revisão,inventário,relatório exploratório histórico,git 40cf190,3c94a887beb80ef9ee77b150ce36260da689a4a3e14b094120752597002ffed6,comparação histórica
analisys.html,histórico,preservado,fora da revisão,inventário,render histórico de analisys.qmd,git 40cf190,8a07621a60a5314c9b5f2a11b418c859bc4451cfe8157703f47164eb055336bc,comparação histórica
parecer-estatistico.md,histórico,preservado,fora da revisão,inventário,diagnóstico anterior,git 40cf190,7b1857f94ee6c044b94e19a2b8069165c351ce5b0830758f9efa0692dd6646dd,contexto; não fornece números finais
avaliacao_tamanho_amostral.txt,histórico,preservado,fora da revisão,inventário,avaliação anterior,git 40cf190,3dcd7bffb32671128211f230aeb487dfa273b9fef2203dc169bb9ee3fa938af2,contexto; não fornece números finais
relatorio_prognostico.qmd,baseline congelado,preservado,task 13 e task 14 futuras,inventário,relatório prognóstico vigente,git 40cf190,24c9f1e33020fc6fda630156f0933096155b3700b462bc726410f9af89e4d86c,baseline de redação
relatorio_prognostico.html,baseline congelado,preservado,task 14 futura,renderização histórica já verificada,relatorio_prognostico.qmd,git 40cf190,93bc76bfa46c80d00f62532cabcee362e15fc6b6599a9fc62f3eb7d629222f2d,baseline visual; não substituir nesta task
results/prognostico/reduced_objects/frozen_models_reduced.rds,modelo congelado,preservado,baseline anterior / task 03 antiga,run_frozen_models.R,data/dataset_escoliose_01.xlsx + R/07_frozen_models.R,git 40cf190,e26abfd849a14daea90d684b25ce5138ace2aa1dbea285c67fe2c0294a680c0c,consumir como referência congelada
results/prognostico/reduced_objects/frozen_bootstrap_internal.rds,resultado congelado,preservado,baseline anterior / task 06 antiga,run_internal_validation.R,data/dataset_escoliose_01.xlsx + R/08_internal_validation.R,git 40cf190,739b4718e9fdfbd2778e2266b4a029a4979678c1ce151f7127f1b2d287999485,consumir como evidência já verificada
results/prognostico/reduced_objects/frozen_shrinkage_models.rds,resultado congelado,preservado,baseline anterior / task 07 antiga,run_shrinkage_equations.R,data/dataset_escoliose_01.xlsx + bootstrap congelado,git 40cf190,e89bac61746210c3bc87ab1f803472f31320df51a08907ccc4882a55f0ec9379,consumir como referência congelada
results/prognostico/reduced_objects/cart_nested_internal.rds,resultado exploratório congelado,preservado,baseline anterior / task 08 antiga,run_cart_nested.R,data/dataset_escoliose_01.xlsx + R/10_cart_nested.R,git 40cf190,498ca47391ca4c5530bbf0c618577458d940c42c0ccffa6dcb7602c4fab0029d,consumir somente com escopo documentado
results/prognostico/reduced_objects/flexible_nested_internal.rds,resultado exploratório congelado,preservado,baseline anterior / task 09 antiga,run_flexible_modeling.R,data/dataset_escoliose_01.xlsx + R/11_flexible_modeling.R,git 40cf190,2758040208a178b246d184b54a679b1729b8f0a023d3799d4d88b145d3957a7e,consumir somente com ressalva do solver
results/prognostico/aggregated/frozen_bootstrap_optimism_summary.csv,resultado agregado congelado,preservado,baseline anterior / task 06 antiga,run_internal_validation.R,frozen_bootstrap_internal.rds,git 40cf190,ead5ddf9011a6ffab51ede06fd21d111494608688b4476e7ec5e298eff3654e1,desempenho aparente/corrigido já produzido
results/prognostico/aggregated/frozen_equations_shrunk.txt,equações congeladas,preservado,baseline anterior / task 07 antiga,run_shrinkage_equations.R,frozen_models_reduced.rds + frozen_bootstrap_internal.rds,git 40cf190,66bd0f334ebeb34006d06ad2609409da4b4bced81e6243fb7c0473c47cf89752,referência; não é saída da revisão
results/prognostico/aggregated/cohort_summary.csv,coorte agregada congelada,preservado,baseline anterior / task 02 antiga,run_cohort_audit.R,data/dataset_escoliose_01.xlsx,git 40cf190,821e226b84bbf7db1b5e48d3b63904721e0bb7ae01e487314553d0008e0a0606,contagens agregadas sem IDs
results/prognostico/aggregated/cart_external_metrics.csv,CART agregada congelada,preservado,task 06 e task 07 da revisão,run_cart_nested.R + R/10_cart_nested.R,cart_nested_internal.rds,git 40cf190,1df8e229d1fb8a1b9028635e2d75ffa092139ba9ace4c8fb4d592fa374c2a8e5,baseline exploratório; revisar cortes e escopo
